Black Best-Sellers,,,,,,,,,,
,,,,,,,,,,
Created On : 09/27/2021,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Sales data from the years 2004 - September, 2021",,,,,,,,,,
,,,,,,,,,,
 ISBN , Title ,Type, Author ,Gender, Publisher , Format , Publication Date , Imprint , RTD Sales , YTD Sales 
9780593230251,Caste (Oprah's Book Club): the Origins of Our Discontents,Non-fiction,Isabel Wilkerson,Female,Random House,Hardcover,2020-08-04,Random House,"818,059","273,611"
9781400033416,Beloved,Fiction,Toni Morrison,Female,Random House,Trade Paperback,2004-06-08,Vintage,"809,960","48,619"
9780345514400,I Know Why the Caged Bird Sings,Fiction,Maya Angelou,Female,Random House,Mass Market Paperback,2009-04-21,Ballantine Books,"775,412","48,714"
9781442411920,"Dork Diaries 4, 4: Tales from a Not-So-Graceful Ice Princess",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2012-06-05,Aladdin Paperbacks,"765,854","11,468"
9780385528207,"The Other Wes Moore: One Name, Two Fates",Non-fiction,Wes Moore,Male,Random House,Trade Paperback,2011-01-11,One World,"765,641","41,660"
9780375702709,A Lesson Before Dying,Fiction,Ernest J. Gaines,Male,Random House,Trade Paperback,1997-09-28,Vintage,"752,296","18,339"
9781442411906,"Dork Diaries 3, 3: Tales from a Not-So-Talented Pop Star",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2011-06-07,Aladdin Paperbacks,"751,753","12,047"
9781481457040,"Dork Diaries 10, 10: Tales from a Not-So-Perfect Pet Sitter",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2015-10-20,Aladdin Paperbacks,"734,248","10,806"
9780553496673,"Everything, Everything",Fiction,Nicola Yoon,Female,Random House,Trade Paperback,2017-03-07,Ember,"731,268","20,503"
9781595586438,The New Jim Crow: Mass Incarceration In the Age of Colorblindness,Non-fiction,Michelle Alexander,Female,Two Rivers Distribution,Trade Paperback,2012-01-16,New Press,"726,101","1,638"
9780307455925,Americanah,Fiction,Chimamanda Ngozi Adichie,Male,Random House,Trade Paperback,2014-03-04,Anchor Books,"720,090","27,484"
9780345350688,The Autobiography of Malcolm X,Non-fiction,Malcolm X,Male,Random House,Mass Market Paperback,1987-10-12,Ballantine Books,"695,480","47,673"
9781442449619,"Dork Diaries 5, 5: Tales from a Not-So-Smart Miss Know-It-All",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2012-10-02,Aladdin Paperbacks,"682,760","7,871"
9780316204361,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Non-fiction,Malcolm Gladwell,Male,Hachette Book Group,Hardcover,2013-10-01,"Little, Brown and Company","680,081","1,294"
9780525536291,The Vanishing Half,Fiction,Brit Bennett,Female,Penguin Group Usa,Hardcover,2020-06-02,Riverhead Books,"677,998","233,489"
9781442449633,Tales from a Not-So Happy Heartbreaker,Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2013-06-04,Aladdin Paperbacks,"666,407","7,579"
9781481479202,"Dork Diaries 11, 11: Tales from a Not-So-Friendly Frenemy",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2016-11-15,Aladdin Paperbacks,"657,780","11,168"
9780399588198,Born a Crime: Stories from a South African Childhood,Non-fiction,Trevor Noah,Male,Random House,Trade Paperback,2019-02-12,One World,"654,861","133,606"
9781481421843,"Dork Diaries 8, 8: Tales from a Not-So-Happily Ever After",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2014-09-30,Aladdin Paperbacks,"634,469","7,152"
9781594481925,The Color of Water: a Black Man's Tribute to His White Mother,Non-fiction,James Mcbride,Male,Penguin Group Usa,Trade Paperback,2006-02-07,Riverhead Books,"626,065","19,461"
9780140384512,"Roll of Thunder, Hear My Cry",Fiction,Mildred D. Taylor,Male,Penguin Group Usa,Trade Paperback,2001-11-27,Puffin Books,"613,514","17,328"
9780316478526,Talking to Strangers: What We Should Know About the People We Don't Know,Non-fiction,Malcolm Gladwell,Male,Hachette Book Group,Hardcover,2019-09-10,"Little, Brown and Company","607,957","43,027"
9780307278449,The Bluest Eye,Fiction,Toni Morrison,Female,Random House,Trade Paperback,2007-05-08,Vintage,"590,732","48,381"
9781442487673,Tales from a Not-So-Glam Tv Star,Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2014-06-03,Aladdin Paperbacks,"574,239","9,386"
9780440414124,The Watsons Go to Birmingham--1963,Fiction,Christopher Paul Curtis,Male,Random House,Trade Paperback,1997-09-08,Yearling B,"568,156","36,107"
9781534405608,"Dork Diaries 12, 12: Tales from a Not-So-Secret Crush Catastrophe",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2017-10-17,Aladdin Paperbacks,"563,717","20,232"
9780062363602,Hidden Figures: the American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,Non-fiction,Margot Lee Shetterly,Female,Harpercollins Publishers,Trade Paperback,2016-12-06,William Morrow & Company,"554,496","15,128"
9780679763888,The Warmth of Other Suns: the Epic Story of America's Great Migration,Non-fiction,Isabel Wilkerson,Female,Random House,Trade Paperback,2011-10-04,Vintage,"538,525","71,718"
9781442422339,How to Dork Your Diary,Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2011-10-11,Aladdin Paperbacks,"535,564","4,594"
9780679766759,Push,Fiction,Sapphire,Female,Random House,Trade Paperback,1997-04-29,Vintage,"514,403","1,322"
9781442487697,"Dork Diaries 9, 9: Tales from a Not-So-Dorky Drama Queen",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2015-06-02,Aladdin Paperbacks,"505,945","10,234"
9780310214694,Gifted Hands: the Ben Carson Story,Non-fiction,Ben Carson,Male,Hc Christian Publishing,Mass Market Paperback,1996-12-01,Zondervan,"504,125",181
9780156028356,The Color Purple,Fiction,Alice Walker,Female,Houghton Mifflin Co,Trade Paperback,2003-05-28,Mariner Books,"476,021",211
9780807083697,Kindred,Fiction,Octavia Butler,Female,Random House,Trade Paperback,2004-02-01,Beacon Press,"475,570","42,141"
9780399588174,Born a Crime: Stories from a South African Childhood,Non-fiction,Trevor Noah,Male,Random House,Hardcover,2016-11-15,One World,"460,849","9,338"
9781593080419,"The Narrative of the Life of Frederick Douglass, an American Slave (Barnes & Noble Classics Series): an American Slave",Non-fiction,Frederick Douglass,Male,B&n Distribution Center,Trade Paperback,2005-08-01,Barnes & Noble Classics,"458,236","4,393"
9781101971062,Homegoing,Fiction,Yaa Gyasi,Female,Random House,Trade Paperback,2017-05-02,Vintage,"451,077","69,901"
9780316453691,"Stamped: Racism, Antiracism, and You: a Remix of the National Book Award-Winning Stamped from the Beginning",Non-fiction,Jason Reynolds,Male,Hachette Book Group,Hardcover,2020-03-10,Little Brown Books For Young Readers,"448,472","127,021"
9781250170972,Children of Blood and Bone,Fiction,Tomi Adeyemi,Female,Macmillan,Hardcover,2018-03-06,Henry Holt,"445,664","41,966"
9781414318011,"Quiet Strength: the Principles, Practices, & Priorities of a Winning Life",Non-fiction,Tony Dungy,Male,Tyndale House Publishers Inc,Hardcover,2007-07-10,Tyndale Momentum,"441,402",120
9781580058827,So You Want to Talk About Race,Non-fiction,Ijeoma Oluo,Female,Hachette Book Group,Trade Paperback,2019-09-24,Seal Press,"438,898","62,522"
9780375835278,Of Thee I Sing: a Letter to My Daughters,Non-fiction,Barack Obama,Male,Random House,Hardcover,2010-11-16,Alfred A. Knopf Books For Young Readers,"436,764","20,249"
9781101911761,We Should All Be Feminists,Non-fiction,Chimamanda Ngozi Adichie,Female,Random House,Trade Paperback,2015-02-03,Anchor Books,"436,724","20,126"
9780316086370,Say You're One of Them,Fiction,Uwem Akpan,Male,Hachette Book Group,Trade Paperback,2009-09-18,Back Bay Books,"422,956",176
9780062691194,New Kid,Fiction,Jerry Craft,Male,Harpercollins Publishers,Trade Paperback,2019-02-05,Quill Tree Books,"422,327","114,348"
9781534427204,"Dork Diaries 14, 14: Tales from a Not-So-Best Friend Forever",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2019-10-22,Aladdin Paperbacks,"408,244","48,125"
9780062667120,I Am Enough,Fiction,Grace Byers,Female,Harpercollins Publishers,Hardcover,2018-03-06,Balzer & Bray/Harperteen,"407,728","97,653"
9781534426382,"Dork Diaries 13, 13: Tales from a Not-So-Happy Birthday",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2018-10-16,Aladdin Paperbacks,"406,387","22,801"
9780316076203,What the Dog Saw: and Other Adventures,Non-fiction,Malcolm Gladwell,Male,Hachette Book Group,Trade Paperback,2010-12-14,Back Bay Books,"402,083","5,356"
9781481450164,"Ghost, 1",Non-fiction,Jason Reynolds,Male,Simon & Schuster,Trade Paperback,2017-08-29,Atheneum,"400,404","74,517"
9780679744726,The Fire Next Time,Non-fiction,James Baldwin,Male,Random House,Trade Paperback,1992-12-01,Vintage,"393,142","58,066"
9781568585987,Stamped from the Beginning: the Definitive History of Racist Ideas In America,Non-fiction,Ibram X. Kendi,Male,Hachette Book Group,Trade Paperback,2017-08-15,Bold Type Books,"383,346","43,581"
9781595231123,One Nation: What We Can All Do to Save America's Future,Non-fiction,Ben Carson,Male,Penguin Group Usa,Hardcover,2014-05-20,Sentinel,"371,648",1
9780399590597,The Water Dancer,Fiction,Ta-Nehisi Coates,Male,Random House,Hardcover,2019-09-24,One World,"353,808","4,063"
9780345804327,The Underground Railroad,Fiction,Colson Whitehead,Male,Random House,Trade Paperback,2018-01-30,Anchor Books,"353,787","72,283"
9781101939529,Dear Martin,Fiction,Nic Stone,Female,Random House,Trade Paperback,2018-09-04,Ember,"353,203","60,707"
9780593139127,Becoming: a Guided Journal For Discovering Your Voice,Non-fiction,Michelle Obama,Female,Random House,Hardcover,2019-11-19,Clarkson N Potter Publishers,"349,207","27,890"
9780147515827,Brown Girl Dreaming,Non-fiction,Jacqueline Woodson,Female,Penguin Group Usa,Trade Paperback,2016-10-11,Puffin Books,"344,292","76,205"
9780544107717,The Crossover,Poetry,Kwame Alexander,Male,Houghton Mifflin Co,Hardcover,2014-03-18,Clarion Books,"344,078","9,344"
9781400033423,Song of Solomon,Fiction,Toni Morrison,Female,Random House,Trade Paperback,2004-06-08,Vintage,"338,710","22,588"
9781250138064,The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,Non-fiction,Oprah Winfrey,Female,Macmillan,Hardcover,2017-10-17,Flatiron Books,"337,207","3,084"
9780452264014,Fences,Fiction,August Wilson,Male,Penguin Group Usa,Trade Paperback,1986-06-01,Plume Books,"336,208","23,854"
9780316475112,Little Leaders: Bold Women In Black History,Non-fiction,Vashti Harrison,Female,Hachette Book Group,Hardcover,2017-12-05,Little Brown Books For Young Readers,"330,023","87,536"
9780307474841,Precious (Push Movie Tie-In Edition),Fiction,Sapphire,Female,Random House,Trade Paperback,2009-10-20,Vintage Books,"325,069",6
9780525553366,Hair Love,Fiction,Matthew A. Cherry,Male,Penguin Group Usa,Hardcover,2019-05-14,Kokila,"312,007","109,873"
9780399246531,The Day You Begin,Fiction,Jacqueline Woodson,Female,Penguin Group Usa,Hardcover,2018-08-28,Nancy Paulsen Books,"309,045","80,515"
9781481463348,All American Boys,Fiction,Jason Reynolds,Male,Simon & Schuster,Trade Paperback,2017-08-29,Atheneum,"308,540","59,530"
9780310330912,America the Beautiful: Rediscovering What Made This Nation Great,Non-fiction,Ben Carson,Male,Hc Christian Publishing,Trade Paperback,2013-01-22,Zondervan,"303,949",6
9781442487710,Omg! All About Me Diary!,Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2013-10-01,Aladdin Paperbacks,"289,118","3,742"
9780385537070,The Nickel Boys (Winner 2020 Pulitzer Prize For Fiction),Fiction,Colson Whitehead,Male,Random House,Hardcover,2019-07-16,Doubleday Books,"288,192","13,899"
9780375703867,White Teeth,Fiction,Zadie Smith,Female,Random House,Trade Paperback,2001-06-12,Vintage,"283,664","7,540"
9780062282712,Bad Feminist,Non-fiction,Roxane Gay,Female,Harpercollins Publishers,Trade Paperback,2014-08-05,Harper Perennial,"281,311","9,575"
9780062662378,Hidden Figures Young Readers' Edition,Non-fiction,Margot Lee Shetterly,Female,Harpercollins Publishers,Trade Paperback,2016-11-29,Harpercollins,"279,046","34,782"
9781414348285,The One Year Uncommon Life Daily Challenge,Non-fiction,Tony Dungy,Male,Tyndale House Publishers Inc,Trade Paperback,2011-10-01,Tyndale Momentum,"275,462","9,949"
9780060959470,All About Love: New Visions,Non-fiction,Bell Hooks,Female,Harpercollins Publishers,Trade Paperback,2018-01-30,William Morrow & Company,"271,804","48,866"
9780316229296,The Fifth Season,Fiction,N. K. Jemisin,Female,Hachette Book Group,Trade Paperback,2015-08-04,Orbit,"264,228","31,038"
9780465060689,Why Are All the Black Kids Sitting Together In the Cafeteria?: and Other Conversations About Race,Non-fiction,Beverly Daniel Tatum,Female,Hachette Book Group,Trade Paperback,2017-09-05,Basic Books,"261,493","34,664"
9781250054050,What I Know For Sure,Non-fiction,Oprah Winfrey,Female,Macmillan,Hardcover,2014-09-02,Flatiron Books,"259,557","7,051"
9780060837563,Native Son,Fiction,Richard Wright,Male,Harpercollins Publishers,Trade Paperback,2005-08-02,Harper Perennial,"258,904","9,643"
9781481438261,Long Way Down,Poetry,Jason Reynolds,Male,Simon & Schuster,Trade Paperback,2019-04-02,Atheneum,"257,941","80,678"
9780525541905,Such a Fun Age,Fiction,Kiley Reid,Female,Penguin Group Usa,Hardcover,2019-12-31,G.P. Putnam's Sons,"254,205","47,022"
9781400068920,Decoded,Non-fiction,Jay-Z,Male,Random House,Hardcover,2010-11-16,Spiegel & Grau,"249,522",522
9781641521666,"Celebrate Your Body (And Its Changes, Too!): the Ultimate Puberty Book For Girls",Non-fiction,Sonya Renee Taylor,Female,Ingram Publisher Services,Trade Paperback,2018-05-29,Rockridge Press,"237,125","85,538"
9781481460019,"The Misadventures of Max Crumbly 1, 1: Locker Hero",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2016-06-07,Aladdin Paperbacks,"236,369","4,339"
9781555976903,Citizen: an American Lyric,Poetry,Claudia Rankine,Female,Macmillan,Trade Paperback,2014-10-07,Graywolf Press,"236,329","15,908"
9780553496680,The Sun Is Also a Star,Fiction,Nicola Yoon,Female,Random House,Hardcover,2016-11-01,Delacorte Press,"231,287","2,123"
9781400033430,Sula,Fiction,Toni Morrison,Female,Random House,Trade Paperback,2004-06-08,Vintage,"229,353","18,390"
9780544935204,The Crossover,Fiction,Kwame Alexander,Male,Houghton Mifflin Co,Trade Paperback,2019-03-05,Clarion Books,"225,498","71,063"
9781534425361,Sulwe,Non-fiction,Lupita Nyong'o,Female,Simon & Schuster,Hardcover,2019-10-15,Simon & Schuster Books For Young Readers,"224,922","64,735"
9781452142906,"Every Little Thing: Based on the Song 'three Little Birds' By Bob Marley (Preschool Music Books, Children Song Books, Reggae For Kids)",Non-fiction,Bob Marley,Male,Chronicle Books,Board Books,2015-03-03,Chronicle Books,"218,309","35,044"
9781400065585,Amazing Peace: a Christmas Poem,Fiction,Maya Angelou,Female,Random House,Hardcover,2005-12-01,Random House,"214,574",64
9781616202415,Purple Hibiscus,Fiction,Chimamanda Ngozi Adichie,Female,Workman Pub Co Inc,Trade Paperback,2012-04-17,Algonquin Books,"214,476","24,482"
9780062971067,I Promise,Non-fiction,Lebron James,Male,Harpercollins Publishers,Hardcover,2020-08-11,Harpercollins,"213,501","69,873"
9780143037743,On Beauty,Fiction,Zadie Smith,Female,Penguin Group Usa,Trade Paperback,2006-09-01,Penguin Group,"212,650","3,110"
9781250083258,The Sellout,Fiction,Paul Beatty,Male,Macmillan,Trade Paperback,2016-03-01,Picador Usa,"211,032","4,787"
9781400095209,Half of a Yellow Sun,Fiction,Chimamanda Ngozi Adichie,Female,Random House,Trade Paperback,2007-09-04,Anchor Books,"205,458","8,912"
9781591848042,A More Perfect Union: What We the People Can Do to Reclaim Our Constitutional Liberties,Non-fiction,Ben Carson,Male,Penguin Group Usa,Hardcover,2015-10-06,Sentinel,"205,205",135
9780061130243,Black Boy,Fiction,Richard Wright,Male,Harpercollins Publishers,Trade Paperback,2007-03-27,Harper Perennial,"203,292",58
9781616208684,An American Marriage (Oprah's Book Club),Fiction,Tayari Jones,Female,Workman Pub Co Inc,Trade Paperback,2019-02-05,Algonquin Books,"200,929","14,588"
9780545055765,Fallen Angels,Fiction,Walter Dean Myers,Male,Scholastic Books,Trade Paperback,2008-05-01,Scholastic Paperbacks,"200,755","4,973"
9780743442848,Addicted,Fiction,Zane,Female,Simon & Schuster,Trade Paperback,2001-10-30,Atria Books,"199,472",548
9780062498564,On the Come Up,Fiction,Angie Thomas,Female,Harpercollins Publishers,Hardcover,2019-02-05,Balzer & Bray/Harperteen,"192,012","8,261"
9781573226066,Drown,Fiction,Junot Díaz,Male,Penguin Group Usa,Trade Paperback,1997-07-01,Riverhead Books,"188,002","2,322"
9780060565558,My Grandfather's Son,Non-fiction,Clarence Thomas,Male,Harpercollins Publishers,Hardcover,2007-10-01,Harper,"186,373",5
9780062931061,Just As I Am: a Memoir,Non-fiction,Cicely Tyson,Female,Harpercollins Publishers,Hardcover,2021-01-26,Harpercollins Publishers,"185,099","185,099"
9781439147061,America's Most Wanted Recipes: Delicious Recipes from Your Family's Favorite Restaurants,Non-fiction,Ron Douglas,Male,Simon & Schuster,Trade Paperback,2009-07-07,Atria Books,"185,098",383
9780812980035,Letter to My Daughter,Fiction,Maya Angelou,Female,Random House,Trade Paperback,2009-10-27,Random House,"183,094","4,716"
9780316475099,"Dream Big, Little One",Non-fiction,Vashti Harrison,Female,Hachette Book Group,Board Books,2018-10-16,Lb Kids,"182,292","52,483"
9781501126079,"Sing, Unburied, Sing",Fiction,Jesmyn Ward,Female,Simon & Schuster,Trade Paperback,2018-05-08,Scribner Book Company,"181,391","19,716"
9780743462709,The Sex Chronicles,Fiction,Zane,Female,Simon & Schuster,Trade Paperback,2002-05-01,Atria Books,"180,961","1,622"
9781608196265,Salvage the Bones,Fiction,Jesmyn Ward,Female,Macmillan,Trade Paperback,2012-04-24,Bloomsbury Usa,"179,836","13,233"
9781250170996,Children of Virtue and Vengeance,Fiction,Tomi Adeyemi,Male,Macmillan,Hardcover,2019-12-03,Henry Holt,"179,442","20,583"
9781594631771,This Is How You Lose Her,Fiction,Junot Díaz,Male,Penguin Group Usa,Trade Paperback,2013-09-03,Riverhead Books,"178,282","2,565"
9780465083619,Why Are All the Black Kids Sitting Together In the Cafeteria?,Non-fiction,Beverly Daniel Tatum,Female,Hachette Book Group,Trade Paperback,2002-12-17,Basic Books,"175,455",16
9781414326818,Uncommon: Finding Your Path to Significance,Non-fiction,Tony Dungy,Male,Tyndale House Publishers Inc,Hardcover,2009-01-27,Tyndale Momentum,"174,827",77
9781250307507,The Path Made Clear: Discovering Your Life's Direction and Purpose,Non-fiction,Oprah Winfrey,Female,Macmillan,Hardcover,2019-03-26,Flatiron Books,"170,799","4,342"
9781728209807,"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Non-fiction,Layla Saad,Female,Sourcebooks Inc,Hardcover,2020-01-01,Sourcebooks,"170,677","28,349"
9781594489211,Don't Make a Black Woman Take Off Her Earrings: Madea's Uninhibited Commentaries on Love and Life,Non-fiction,Tyler Perry,Male,Penguin Group Usa,Hardcover,2006-04-11,Riverhead Books,"168,814",0
9780743476249,Nervous,Fiction,Zane,Female,Simon & Schuster,Trade Paperback,2004-06-01,Atria Books,"167,220","1,646"
9780399246524,Each Kindness,Fiction,Jacqueline Woodson,Female,Penguin Group Usa,Hardcover,2012-10-02,Nancy Paulsen Books,"166,505","16,059"
9781400062898,Hallelujah! the Welcome Table: a Lifetime of Memories With Recipes,Fiction,Maya Angelou,Female,Random House,Hardcover,2004-09-21,Random House,"166,212",3
9780142501894,Bronx Masquerade,Poetry,Nikki Grimes,Female,Penguin Group Usa,Mass Market Paperback,2003-12-29,Speak,"162,760",4
9781524760854,I'm Still Here: Black Dignity In a World Made For Whiteness,Non-fiction,Austin Channing Brown,Male,Random House,Hardcover,2018-05-15,Convergent Books,"158,298","23,175"
9780399587665,The Wedding Date,Fiction,Jasmine Guillory,Female,Penguin Group Usa,Trade Paperback,2018-01-30,Berkley Books,"156,004","20,635"
9781538732182,Parable of the Sower,Fiction,Octavia E. Butler,Female,Hachette Book Group,Trade Paperback,2019-04-30,Grand Central Publishing,"154,995","68,542"
9780062748201,Barracoon: the Story of the Last Black Cargo,Fiction,Zora Neale Hurston,Female,Harpercollins Publishers,Hardcover,2018-05-08,Amistad Press,"152,648","2,007"
9781481460033,"The Misadventures of Max Crumbly 2, 2: Middle School Mayhem",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2017-06-06,Aladdin Paperbacks,"150,909","3,464"
9780307276766,A Mercy,Fiction,Toni Morrison,Female,Random House,Trade Paperback,2009-08-11,Vintage,"143,896","3,800"
9780670031443,The Interruption of Everything,Fiction,Terry Mcmillan,Female,Penguin Group Usa,Hardcover,2005-07-12,Viking,"141,756",5
9781250126535,"Food, Health, and Happiness: 115 On-Point Recipes For Great Meals and a Better Life",Non-fiction,Oprah Winfrey,Female,Macmillan,Hardcover,2017-01-03,Flatiron Books,"140,537",188
9781416949114,"Please, Baby, Please",Fiction,Spike Lee,Male,Simon & Schuster,Board Books,2007-09-18,Little Simon,"140,112","15,669"
9780316475143,Little Legends: Exceptional Men In Black History,Non-fiction,Vashti Harrison,Female,Hachette Book Group,Hardcover,2019-11-19,Little Brown Books For Young Readers,"139,116","59,384"
9780743482387,Chocolate Flava: the Eroticanoir.Com Anthology,Fiction,Zane,Female,Simon & Schuster,Trade Paperback,2004-01-06,Atria Books,"138,881",328
9780399589652,The Beautiful Ones,Non-fiction,Prince,Male,Random House,Hardcover,2019-10-29,One World,"138,850","4,537"
9781416971443,"Barack Obama: Son of Promise, Child of Hope",Non-fiction,Nikki Grimes,Female,Simon & Schuster,Hardcover,2008-08-26,Simon & Schuster Books For Young Readers,"136,999",94
9780743457026,Gettin' Buck Wild: Sex Chronicles II,Fiction,Zane,Female,Simon & Schuster,Trade Paperback,2003-10-07,Atria Books,"136,425","1,160"
9780684848068,In the Meantime: Finding Yourself and the Love You Want,Non-fiction,Iyanla Vanzant,Female,Simon & Schuster,Trade Paperback,1999-09-14,Atria Books,"135,887","3,279"
9780735216723,Deacon King Kong,Fiction,James Mcbride,Male,Penguin Group Usa,Hardcover,2020-03-03,Riverhead Books,"135,690","23,293"
9780593110416,Antiracist Baby Board Book,Non-fiction,Ibram X. Kendi,Male,Penguin Group Usa,Board Books,2020-06-16,Kokila,"135,613","23,654"
9781501155567,I Can't Make This Up: Life Lessons,Non-fiction,Kevin Hart,Male,Simon & Schuster,Hardcover,2017-06-06,37 Ink,"133,502",9
9780316296618,"The Bomber Mafia: a Dream, a Temptation, and the Longest Night of the Second World War",Non-fiction,Malcolm Gladwell,Male,Hachette Book Group,Hardcover,2021-04-27,"Little, Brown and Company","133,475","133,475"
9780440938842,Hoops,Fiction,Walter Dean Myers,Male,Random House,Mass Market Paperback,1983-03-28,Laurel Leaf Library,"133,346",0
9780064472883,Bad Boy: a Memoir,Non-fiction,Walter Dean Myers,Male,Harpercollins Publishers,Trade Paperback,2020-05-12,Amistad Press,"133,131","3,273"
9780743476256,The Sisters of Apf: the Indoctrination of Soror Ride Dick,Fiction,Zane,Female,Simon & Schuster,Trade Paperback,2004-04-27,Atria Books,"132,606",425
9780399587689,The Proposal,Fiction,Jasmine Guillory,Female,Penguin Group Usa,Trade Paperback,2018-10-30,Berkley Books,"132,126","11,688"
